category,stt,productId,productCode,productName,gender,color,price,size,s,m,l,feature,part,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,4,10661774,P818LSL01,Áo UV có nón,women,Hồng kẻ ngang,2808,Dài nón,37,37.5,38,"Thiết kế đơn giản có thể mặc khi đi ra ngoài, đi làm hoặc đi biển",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,4,10661774,P818LSL01,Áo UV có nón,women,Hồng kẻ ngang,2808,,,,,Chất liệu sợi hoạt tính Deodorant giúp khử mùi mồ hôi tốt hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,5,10661798,P818LSL01,Áo UV có nón,women,Xanh kẻ ngang,2808,Dài thân,60.9,63,65.1,Có tính năng chống tia UV UPF50+ mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/099c737718ad4a7d33155ab35adc5501.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,5,10661798,P818LSL01,Áo UV có nón,women,Xanh kẻ ngang,2808,Vòng ngực,89,92,95,Thích hợp khi đi ngoài trời hoặc khi đi biển,Matsau,https://base-ec2if.akamaized.net/images/item/origin/aea4695d4fbf9c69d31f15516352d6df.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,5,10661798,P818LSL01,Áo UV có nón,women,Xanh kẻ ngang,2808,Vòng cổ tay,20,20.5,21,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/cbf8be6bef233b5a04a984ab4a1ff3be.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,5,10661798,P818LSL01,Áo UV có nón,women,Xanh kẻ ngang,2808,Dài tay,60.9,62.1,64.1,"Có thể kết hợp với đồ bơi như áo khoác chống nắng, mang lại cảm giác thoáng mát, ngay cả khi xuống tắm biển",Matngang2,https://base-ec2if.akamaized.net/images/item/origin/2814041dc2dd23fb00b6e87fbb90b768.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,5,10661798,P818LSL01,Áo UV có nón,women,Xanh kẻ ngang,2808,Rộng vai,36.6,37.8,39,Kết cấu chất liệu vải mềm nhẹ nhàng mang lại cảm giác thoải mái khi mặc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,5,10661798,P818LSL01,Áo UV có nón,women,Xanh kẻ ngang,2808,Dài nón,37,37.5,38,"Thiết kế đơn giản có thể mặc khi đi ra ngoài, đi làm hoặc đi biển",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,5,10661798,P818LSL01,Áo UV có nón,women,Xanh kẻ ngang,2808,,,,,Chất liệu sợi hoạt tính Deodorant giúp khử mùi mồ hôi tốt hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,1,10662170,P818PTL11,Quần basic,women,Hồng kẻ ngang,1620,Dài quần từ eo,92.3,95.8,99.3,Có tính năng chống tia UV UPF50+ mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/2c3246a771dca90ed78a57a9a8aeb595.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,1,10662170,P818PTL11,Quần basic,women,Hồng kẻ ngang,1620,Vòng eo,53,56,59,Thích hợp khi đi ngoài trời hoặc khi đi biển,Matsau,https://base-ec2if.akamaized.net/images/item/origin/520e313a35cf71196e7c17abfaf65b7b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,1,10662170,P818PTL11,Quần basic,women,Hồng kẻ ngang,1620,Vòng ống,17.2,18,18.8,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/1f0948740d9a03e91f10007415ab88ae.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,1,10662170,P818PTL11,Quần basic,women,Hồng kẻ ngang,1620,Dài từ đáy,70,73,76,Chất liệu vải co giãn 3 chiều ôm sát chân tạo cảm giác thoải mái khi mặc,Matngang2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,1,10662170,P818PTL11,Quần basic,women,Hồng kẻ ngang,1620,Vòng hông,72,75,78,Với tính năng thấm hút nhanh tạo sự thoáng mát ngay cả khi đi biển,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,1,10662170,P818PTL11,Quần basic,women,Hồng kẻ ngang,1620,,,,,"Được thiết kế phối hợp nhiều màu sắc, mang tính thời trang cao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,1,10662170,P818PTL11,Quần basic,women,Hồng kẻ ngang,1620,,,,,Có thể mặc phối hợp với quần đùi khi đi biển hoặc khi vận động,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,2,10662153,P818PTL11,Quần basic,women,Xanh kẻ ngang,1620,Dài quần từ eo,92.3,92.3,92.3,Có tính năng chống tia UV UPF50+ mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/5082c27a9c8d7f2dd0f96e98a474edf3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,2,10662153,P818PTL11,Quần basic,women,Xanh kẻ ngang,1620,Vòng eo,53,53,53,Thích hợp khi đi ngoài trời hoặc khi đi biển,Matsau,https://base-ec2if.akamaized.net/images/item/origin/559626e94bc4a753d624417b2a19f7f9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,2,10662153,P818PTL11,Quần basic,women,Xanh kẻ ngang,1620,Vòng ống,17.2,17.2,17.2,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/5fec8469e2fcfd5ca5fc03663b43de45.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,2,10662153,P818PTL11,Quần basic,women,Xanh kẻ ngang,1620,Dài từ đáy,70,70,70,Chất liệu vải co giãn 3 chiều ôm sát chân tạo cảm giác thoải mái khi mặc,Matngang2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,2,10662153,P818PTL11,Quần basic,women,Xanh kẻ ngang,1620,Vòng hông,72,72,72,Với tính năng thấm hút nhanh tạo sự thoáng mát ngay cả khi đi biển,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,2,10662153,P818PTL11,Quần basic,women,Xanh kẻ ngang,1620,,,,,"Được thiết kế phối hợp nhiều màu sắc, mang tính thời trang cao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần chống nắng,2,10662153,P818PTL11,Quần basic,women,Xanh kẻ ngang,1620,,,,,Có thể mặc phối hợp với quần đùi khi đi biển hoặc khi vận động,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,1,10662202,P818PTL01,Quần co giãn,women,Olive,4752,Dài quần từ eo,81.7,85.2,88.7,Quần dàithấm hút nhanh,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/eed2455672bd0b409c342b930d39b81f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,1,10662202,P818PTL01,Quần co giãn,women,Olive,4752,Vòng eo,72,75,78,Sử dụng chất liệu sợi độc quyền SUPER EVAPOS HERRING BONE của Peaks Eight,Matsau,https://base-ec2if.akamaized.net/images/item/origin/16bbde8455988459e2e13b034485689b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,1,10662202,P818PTL01,Quần co giãn,women,Olive,4752,Vòng ống,32.2,33,33.8,"Thích hợp mặc như là trang phục thường ngày , đi dạo phố",Matngang1,https://base-ec2if.akamaized.net/images/item/origin/2e9e84263db3bfbb1e9f11a52cd3137f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,1,10662202,P818PTL01,Quần co giãn,women,Olive,4752,Dài từ đáy,65,68,71,Chất liệu co giãn 3 chiều linh hoạt,Matngang2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,1,10662202,P818PTL01,Quần co giãn,women,Olive,4752,Vòng hông,91.6,94.6,97.6,Tạo cảm giác thon gọn cho người mặc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,2,10662190,P818PTL01,Quần co giãn,women,Đen,4752,Dài quần từ eo,81.7,85.2,88.7,Quần dàithấm hút nhanh,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/440dc6e59a359292160ad03b1dbcfd22.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,2,10662190,P818PTL01,Quần co giãn,women,Đen,4752,Vòng eo,72,75,78,Sử dụng chất liệu sợi độc quyền SUPER EVAPOS HERRING BONE của Peaks Eight,Matsau,https://base-ec2if.akamaized.net/images/item/origin/c5928f847607c1a4cc09a57fda56150a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,2,10662190,P818PTL01,Quần co giãn,women,Đen,4752,Vòng ống,32.2,33,33.8,"Thích hợp mặc như là trang phục thường ngày , đi dạo phố",Matngang1,https://base-ec2if.akamaized.net/images/item/origin/45e3063667e66ca77e1debba67d6c51a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,2,10662190,P818PTL01,Quần co giãn,women,Đen,4752,Dài từ đáy,65,68,71,Chất liệu co giãn 3 chiều linh hoạt,Matngang2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,2,10662190,P818PTL01,Quần co giãn,women,Đen,4752,Vòng hông,91.6,94.6,97.6,Tạo cảm giác thon gọn cho người mặc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,3,10662249,P818PTL01,Quần co giãn,women,Xám,4752,Dài quần từ eo,81.7,85.2,88.7,Quần dàithấm hút nhanh,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/ad7ee701541d4b50a90432851b2eb910.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,3,10662249,P818PTL01,Quần co giãn,women,Xám,4752,Vòng eo,72,75,78,Sử dụng chất liệu sợi độc quyền SUPER EVAPOS HERRING BONE của Peaks Eight,Matsau,https://base-ec2if.akamaized.net/images/item/origin/f6f8512e5e973163f28351619518b595.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,3,10662249,P818PTL01,Quần co giãn,women,Xám,4752,Vòng ống,32.2,33,33.8,"Thích hợp mặc như là trang phục thường ngày , đi dạo phố",Matngang1,https://base-ec2if.akamaized.net/images/item/origin/5751a4361874a7559fb6565bbc45ca06.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,3,10662249,P818PTL01,Quần co giãn,women,Xám,4752,Dài từ đáy,65,68,71,Chất liệu co giãn 3 chiều linh hoạt,Matngang2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần dài,3,10662249,P818PTL01,Quần co giãn,women,Xám,4752,Vòng hông,91.6,94.6,97.6,Tạo cảm giác thon gọn cho người mặc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần đùi,1,10662094,P818PTL03,Quần basic ,women,Xanh nhạt,1188,Dài quần từ eo,42.8,44.8,46.8,"Quần đùi nữ có tính năng chống tia UV , có thể mặc phối hợp với đồ bơi",Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/fbcfa3d583fead5f9356214f9a196339.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần đùi,1,10662094,P818PTL03,Quần basic ,women,Xanh nhạt,1188,Vòng eo,69,72,75,Thích hợp khi đi biển,Matsau,https://base-ec2if.akamaized.net/images/item/origin/6fc2062533c686e8e65ef9ad46d9b168.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần đùi,1,10662094,P818PTL03,Quần basic ,women,Xanh nhạt,1188,Vòng ống,55,57,59,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần đùi,1,10662094,P818PTL03,Quần basic ,women,Xanh nhạt,1188,Dài từ đáy,23.8,25.3,26.8,Quần đùi dạng ống rộng tạo cảm giác thoải mái khi mặc,Matngang2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần đùi,1,10662094,P818PTL03,Quần basic ,women,Xanh nhạt,1188,Vòng hông,93.8,96.8,99.8,"Có tính năng thấm hút mồ hôi cực nhanh, tạo cảm giác thoải mái cho người mặc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quần đùi,1,10662094,P818PTL03,Quần basic ,women,Xanh nhạt,1188,,,,,Có thể mặc phối hợp với quần dài ôm bó sát chống nắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
